sample_id,max_bridge_temp_c,fault_code,fault_label,T1,T2,T3,Ia_original,Ib_original,IDC_original,Power_DC,Power_AC,Current_Imbalance,Temp_Diff_Max
151,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.001955,-5.889541,-0.317693,3.797654,91.324536,-2.792079,1.902255
152,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.001955,-5.987292,-0.268817,9.765396,93.132942,-2.776699,1.902255
153,12.562796,F0,normal_operation,10.577242,9.838929,12.562796,1.099707,-5.840665,-0.219941,9.946237,159.501466,-2.897959,2.723867
154,12.562796,F0,normal_operation,10.577242,10.988746,12.562796,1.050831,-5.840665,-0.171065,6.510264,89.516129,-2.848485,1.985555
155,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.904203,-5.938416,-0.268817,9.765396,206.88172,-2.692308,1.902255
156,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.904203,-5.938416,-0.219941,8.13783,56.422287,-2.692308,1.902255
157,13.315054,F0,normal_operation,10.577242,13.315054,12.479497,1.050831,-6.036168,-0.268817,9.765396,18.626588,-2.815534,2.737812
158,12.313061,F0,normal_operation,10.577242,11.483951,12.313061,1.050831,-5.987292,-0.219941,8.13783,92.228739,-2.823529,1.735819
159,12.479497,F0,normal_operation,10.659462,11.401305,12.479497,0.953079,-6.036168,-0.268817,11.935484,94.941349,-2.72381,1.820035
160,12.479497,F0,normal_operation,10.49506,11.401305,12.479497,1.001955,-6.13392,-0.171065,6.510264,95.845552,-2.754717,1.984437
161,12.396252,F0,normal_operation,10.659462,11.483951,12.396252,0.953079,-5.987292,-0.219941,8.13783,56.422287,-2.730769,1.73679
162,12.146836,F0,normal_operation,10.659462,11.401305,12.146836,1.001955,-6.036168,-0.219941,6.329423,131.652004,-2.769231,1.487374
163,12.562796,F0,normal_operation,10.577242,11.401305,12.562796,1.001955,-6.036168,-0.268817,7.595308,131.652004,-2.769231,1.985555
164,12.479497,F0,normal_operation,10.659462,11.401305,12.479497,1.001955,-5.987292,-0.268817,7.595308,55.879765,-2.776699,1.820035
165,14.665029,F0,normal_operation,10.577242,11.401305,14.665029,1.050831,-6.036168,-0.268817,11.935484,130.386119,-2.815534,4.087787
166,12.479497,F0,normal_operation,10.577242,10.988746,12.479497,1.001955,-5.987292,-0.219941,4.521017,93.132942,-2.776699,1.902255
167,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.148583,-5.889541,-0.317693,8.861193,88.611926,-2.938776,1.902255
168,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.050831,-5.840665,-0.219941,4.521017,89.516129,-2.848485,1.902255
169,12.479497,F0,normal_operation,10.577242,11.483951,12.479497,1.050831,-6.036168,-0.268817,9.765396,279.398827,-2.815534,1.902255
170,12.479497,F0,normal_operation,10.577242,10.906363,12.479497,1.001955,-5.938416,-0.219941,9.946237,55.337243,-2.784314,1.902255
171,12.479497,F0,normal_operation,10.659462,11.401305,12.479497,0.904203,-5.987292,-0.219941,6.329423,94.941349,-2.685714,1.820035
172,12.479497,F0,normal_operation,10.577242,11.483951,12.479497,1.001955,-5.889541,-0.219941,8.13783,91.324536,-2.792079,1.902255
173,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.050831,-6.036168,-0.219941,8.13783,-93.132942,-2.815534,1.902255
174,11.732168,F0,normal_operation,10.330811,11.401305,11.732168,1.001955,-6.036168,-0.268817,11.935484,94.037146,-2.769231,1.401357
175,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,1.001955,-6.13392,-0.219941,8.13783,134.183773,-2.754717,1.902255
176,12.396252,F0,normal_operation,10.412917,11.401305,12.396252,1.099707,-6.13392,-0.171065,7.956989,56.422287,-2.846154,1.983335
177,12.562796,F0,normal_operation,10.577242,11.401305,12.562796,1.050831,-6.085044,-0.268817,9.765396,56.422287,-2.807692,1.985555
178,12.562796,F0,normal_operation,11.071171,11.401305,12.562796,1.099707,-6.036168,-0.268817,7.595308,55.337243,-2.862745,1.491626
179,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.953079,-5.987292,-0.219941,9.946237,56.422287,-2.730769,1.902255
180,12.562796,F0,normal_operation,10.659462,11.401305,12.562796,1.148583,-6.036168,-0.219941,9.946237,91.324536,-2.910891,1.903334
181,12.562796,F0,normal_operation,10.577242,11.401305,12.562796,1.099707,-5.938416,-0.268817,9.765396,90.420332,-2.88,1.985555
182,12.479497,F0,normal_operation,10.577242,10.330811,12.479497,1.099707,-5.938416,-0.171065,7.956989,18.084066,-2.88,2.148686
183,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.953079,-5.987292,-0.219941,8.13783,94.037146,-2.730769,1.902255
184,12.562796,F0,normal_operation,10.577242,11.318705,12.562796,1.001955,-5.938416,-0.171065,10.85044,55.337243,-2.784314,1.985555
185,12.562796,F0,normal_operation,10.577242,11.401305,12.562796,0.953079,-5.889541,-0.219941,4.521017,-55.337243,-2.745098,1.985555
186,12.479497,F0,normal_operation,10.577242,11.318705,12.479497,1.050831,-6.036168,-0.268817,7.595308,18.626588,-2.815534,1.902255
187,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.953079,-6.085044,-0.219941,8.13783,57.507331,-2.716981,1.902255
188,12.396252,F0,normal_operation,10.330811,11.401305,12.396252,1.001955,-6.036168,-0.171065,2.170088,56.422287,-2.769231,2.065441
189,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.953079,-6.13392,-0.219941,6.329423,135.449658,-2.71028,1.902255
190,12.562796,F0,normal_operation,11.236149,11.401305,12.562796,0.953079,-6.036168,-0.219941,9.946237,94.941349,-2.72381,1.326647
191,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.904203,-6.036168,-0.171065,7.956989,95.845552,-2.679245,1.902255
192,12.562796,F0,normal_operation,10.659462,11.401305,12.562796,0.855327,-6.036168,-0.171065,5.063539,58.049853,-2.635514,1.903334
193,12.479497,F0,normal_operation,10.577242,11.401305,12.479497,0.953079,-5.987292,-0.268817,14.105572,94.037146,-2.730769,1.902255
194,12.479497,F0,normal_operation,10.577242,10.330811,12.479497,1.001955,-6.036168,-0.268817,7.595308,94.037146,-2.769231,2.148686
